year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1980,0,33629855.5,154579.2822,28.12578201,0,9273772.993,0,196450992,21225486,28.12578201,56091128,108846.7656,28.12578201,21225514,108874.8906,0,10992849,14119958,2643.823242,0,0,0,0.042796749,0.005404575,0.097963817,739989.3376,716335.5,-27282.00903,0.10880059,0,0,0,0,0,0,0,0,0,14201241.36,14201241.36,2643.823456,2643.823456,0,0,14201241.36,14201241.36,2643.823456,2643.823456,0,0,0,56091128,0.012770923,0.013192627,0.378410753,0.095721818,0.003791196,0
1981,1,57834902,456509.5234,646.8929901,0,29656865,0,173276192,27078378,675.0187988,55997268,312477.4375,675.0187988,27079054,313152.4375,0,13912053,14465371,27169.50391,0,0,0,0.083443232,0.016142554,2.262521396,718051.2272,704635.1875,48657.60373,2.148440413,0,0,0,0,0,0,0,0,0,3187494.773,534614.8516,24694.4375,24694.4375,0,0,17388736.13,14735856.21,27338.26096,27338.26096,0,0,0,55997268,0.012583385,0.012822969,0.483566055,0.121641349,0.010928704,0
1982,2,71248596,808897.4531,1068.779709,0,47555744,0,156698288,29769732,1743.798096,55841912,573006.5,1659.420898,29771476,574666,84.37734985,15216892,14679014,56617.19531,84.37734985,0,0,0.113671625,0.029014688,3.756662903,709894.7503,705394.5625,-10687.79735,3.049547256,0,0,0,0,0,0,0,0,0,1945994.673,406530.032,30488.34903,30488.34903,84.37734604,0,19334730.81,15142386.24,57826.60998,57826.60998,84.37734604,84.37734604,0,55841912,0.012631992,0.01271258,0.533107319,0.13370716,0.02013948,0
1983,3,74700814,1044563.406,2390.691589,0,57106839,0,148855424,31235004,4106.36377,55709692,826560.4375,3909.483398,31239108,830469.875,196.8804626,15843140,14913695,88343.07031,225.0062561,0,0,0.12545867,0.037987023,8.441542897,711301.0394,686212.8125,-23063.14165,7.128209245,0,0,0,0,0,0,0,0,0,1624938.854,420339.7891,32175.89307,32175.89307,140.6289101,0,20959669.66,15562726.03,90002.50305,90002.50305,225.0062561,225.0062561,0,55709692,0.012317656,0.012767994,0.560674505,0.139836195,0.029181858,0
1984,4,73931316,1156813.375,2503.194702,28.12578201,60111880,84.37734604,147204720,31965230,6553.307617,55683840,994583.875,6103.294922,31971704,1000687.125,450.0125122,15988552,15198527,134328.7188,506.2640991,0,0,0.125558671,0.042515451,8.877292586,716926.1959,694256.8125,62157.97933,8.01123338,0.018293715,0,0,0,0,0,0,0,0,1783315.15,455750.1484,48235.71485,47560.69727,281.2578201,0,22742984.81,16018476.18,138238.2179,137563.2003,506.2640762,506.2640762,0.099723272,55683840,0.012467833,0.012874942,0.574048593,0.141723234,0.035264142,0
1985,5,70226308,1153550.75,3346.968201,0,59230475,196.8804741,149748416,32184696,9815.898438,55742460,895974.875,7509.583984,32194372,903484.5,2306.313965,15833999,15535726,488066.6563,2671.948975,0,0,0.117240486,0.042246629,11.87136718,734645.4389,705507.125,121503.3804,9.864362487,0,0,0,0,0,0,0,0,0,11096463.98,478391.4141,357281.7944,355509.8491,2165.685028,0,33839448.79,16496867.59,495520.0123,493073.0494,2671.949104,2671.949104,0,55742460,0.012656548,0.013179279,0.577382053,0.140366707,0.031770886,0
1986,6,65169882,1114596.563,4078.238708,84.37734604,56268720,196.8804741,154534848,31799402,13697.25684,55838008,967133.125,10575.29492,31812844,977708.375,3121.96167,15351192,15868145,653052.5,3515.7229,0,0,0.105429104,0.040876125,14.44942687,741114.3689,716335.5,144285.2642,11.51410625,0.191504857,0,0,0,0,0,0,0,0,6703977.076,473272.5234,172551.6598,170020.3414,900.0250092,0,40543425.87,16970140.12,668071.6721,663093.3908,3571.974113,3571.974113,0.298841664,55838008,0.012828815,0.013272579,0.569493847,0.135924391,0.034253231,0
1987,7,59361572,1011853.047,4359.496582,281.2578201,52001896,253.1320457,160427776,31007520,17691.11719,55921224,934169.6875,13866.01172,31024736,948035.6875,3825.105957,14656513,16196794,778240.375,4331.370117,0,0,0.092505135,0.03702678,15.43299136,761083.6745,668521.75,63001.7528,12.04425548,0.840155547,0,0,0,0,0,0,0,0,4714893.449,469166.1641,130334.8645,128309.8103,815.6476593,0,45258319.32,17439306.28,798406.5365,791403.2012,4387.621773,4387.621773,0.995188271,55921224,0.011954705,0.013609925,0.554485717,0.129649638,0.033054182,0
1988,8,53656735,944885.5781,5062.640991,421.886734,47604317,225.0062637,166376656,29936828,22022.48828,56017336,912400.375,16847.3418,29958486,929247.6875,5175.144043,13877035,16524404,905593.875,5793.911133,0,0,0.080625396,0.034548465,17.92394889,770083.9249,686606.5625,62720.49498,14.03724901,0.989900583,0,0,0,0,0,0,0,0,4194988.338,463822.2656,149544.7755,134497.4731,1687.546997,0,49453307.66,17903128.55,947951.312,925900.6743,6075.16877,6075.16877,1.492771961,56017336,0.012257037,0.013747243,0.534420773,0.122753615,0.032283682,0
1989,9,48041113,858933.2031,4500.125366,703.1445351,42488409,337.5093918,172915904,28520640,25425.70898,56135968,877411.8125,19153.65625,28545588,896565.5,6272.049805,13072498,16924802,998887.125,7003.319824,0,0,0.069457337,0.030980344,15.74386395,766708.831,718501.1875,112221.8722,12.52870649,1.788126767,0,0,0,0,0,0,0,0,4110273.498,590163.2422,113290.6453,104993.5395,1434.414871,0,53563581.16,18493291.79,1061241.957,1030894.214,7509.583641,7509.583641,2.458331233,56135968,0.012799302,0.013658067,0.508063565,0.114260044,0.030676038,0
