year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1980,0,33520278.5,143525.8486,84.37734604,0,9236647.336,0,196532272,21218596,84.37734985,56090712,102096.5781,84.37734985,21218680,102180.9609,0,10977914,0,0,0,0,0,0.042639662,0.005017003,0.293896346,739989.3376,716335.5,-27282.00903,0.34018203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56090712,0.012771018,0.013192725,0.378290723,0.095593174,0.003556135,0
1981,1,57767881,488235.4141,759.3961029,0,29579547,0,173509920,27111538,843.7735596,55993052,343050.1563,843.7735596,27112380,343893.9375,0,13882688,0,0,0,0,0,0.083234263,0.017285329,2.656358667,718051.2272,713944.875,55970.30718,2.313357718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55993052,0.012750598,0.012823934,0.484194682,0.121400117,0.0119995,0
1982,2,71352520,809038.0938,1659.421234,0,47505061,0,156572288,29831836,2503.19458,55826488,629961.25,2503.19458,29834338,632464.4375,0,15240996,0,0,0,0,0,0.113929037,0.029095853,5.836165402,710176.0081,714422.9375,-281.257825,5.173864644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55826488,0.012797204,0.01272113,0.534367055,0.133994223,0.022153714,0
1983,3,75090238,1034719.359,2109.433777,0,57277900,0,148359840,31246506,4584.501953,55686488,867905.375,4584.501953,31251090,872489.875,0,15818952,0,0,0,0,0,0.12653397,0.037716021,7.454409227,711301.0394,679012.625,-32063.39205,6.342219514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55686488,0.01219349,0.012773315,0.561114682,0.139731621,0.030665451,0
1984,4,74687958,1132231.469,3656.352112,0,60686688,0,146314528,32120768,8184.601563,55666296,1044253.938,8184.601563,32128950,1052438.5,0,16056276,0,0,0,0,0,0.127615417,0.041712904,12.97521841,717207.4538,674231.25,43313.70505,11.28311953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55666296,0.012112019,0.012884052,0.577023627,0.142405046,0.037046456,0
1985,5,71094328,1147419.344,3515.722961,56.25156403,60048151,0,148504976,32380678,11559.69727,55726508,1163169.75,11559.69727,32392238,1174729.5,0,15913624,0,0,0,0,0,0.11968341,0.042460185,12.47815237,734364.1811,702722.625,119253.3178,10.41554743,0.223973886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199568547,55726508,0.012610204,0.013178005,0.581064186,0.141145356,0.041266781,0
1986,6,65762124,1116171.625,4078.238708,225.0062561,56822739,0,153034624,32119390,15300.42383,55822504,1234834.25,15300.42383,32134690,1250134.625,0,15502313,0,0,0,0,0,0.107430139,0.041366076,14.46065404,741676.8845,683119,116159.4817,12.20110106,0.689250604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79739652,55822504,0.012237341,0.013286342,0.575384257,0.137346075,0.043761118,0
1987,7,60366620,1010024.938,5962.666016,590.6414185,53024832,0,158668784,31303714,20475.57031,55906680,1220068.25,20475.57031,31324188,1240543.75,0,14768988,0,0,0,0,0,0.095114203,0.037366456,21.12184771,760802.4166,681347.0625,70033.19843,17.37867046,1.852962877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.090741956,55906680,0.012187221,0.013608435,0.559927973,0.130697501,0.043187758,0
1988,8,54801089,958779.75,5793.911499,928.1507874,48683817,0,164659008,30305136,24947.57031,56013420,1225552.75,24947.57031,30330086,1250500.25,0,13946084,0,0,0,0,0,0.083203904,0.035469504,20.52271092,769802.667,693525.5,82127.2849,16.48617659,2.352278143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.284715831,56013420,0.012381417,0.013743183,0.541033488,0.12338761,0.043372182,0
1989,9,49048973,874739.875,6665.810791,984.402359,43591361,0,171208944,28893700,30263.33984,56129752,1183589.125,30263.33984,28923964,1213852.375,0,13137749,0,0,0,0,0,0.071621511,0.031909025,23.33405038,766990.0888,703594.5,95065.14485,18.88517642,2.796834548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.442309799,56129752,0.012535144,0.013664591,0.514766215,0.114851924,0.041388365,0
1990,10,44356916,761364.8594,6947.068848,1884.427521,39884242,0,176697968,27643930,35100.97656,56275352,1111868.375,35100.97656,27679034,1146969.375,0,12329048,0,0,0,0,0,0.062758101,0.02763756,24.26926919,784428.0739,663515.25,62720.49498,19.35886425,5.154394685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.575099247,56275352,0.011790513,0.013939106,0.491226248,0.107545545,0.038795044,0
1991,11,40485261,711160.3438,7425.206909,2559.44635,36390712,0,181949904,26340808,39516.72656,56478288,1069989,39516.72656,26380322,1109505.75,0,11517141,0,0,0,0,0,0.055626934,0.025672447,25.84318513,780209.2066,677493.8125,132753.6934,20.59949435,7.177348666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.895832673,56478288,0.011995651,0.013814321,0.466388216,0.100074924,0.037189461,0
1992,12,37299540,616967.0938,7368.954468,2137.55957,33451144.5,0,186456768,25017320,44185.60547,56655756,985021.125,44185.60547,25061502,1029206.688,0,10776563,0,0,0,0,0,0.050010976,0.022127199,25.5657134,769802.667,672881.25,107159.2313,20.42648686,5.454405535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.404658269,56655756,0.011876662,0.013587369,0.441567138,0.09332695,0.034121832,0
1993,13,34696245,572415.8906,6806.439209,3403.219788,31014553.5,0,190180064,23928008,47026.3125,56825104,912709.625,47026.3125,23975036,959736,0,10127786,0,0,0,0,0,0.045609729,0.020460009,23.59824607,749552.1036,702666.375,147379.1003,18.55264988,9.59837127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77991741,56825104,0.012365422,0.01319051,0.42108164,0.087640889,0.031592564,0
1994,14,32421853.5,515573.6953,7453.331787,4865.759644,28872633.5,0,193514096,22850062,49107.61719,56956388,844139.0625,49107.61719,22899168,893246.625,0,9505980,0,0,0,0,0,0.041885648,0.01833839,25.78161975,738020.5328,680897,102096.5905,20.25270133,12.32832039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.80247662,56956388,0.011954708,0.012957643,0.401185237,0.082065298,0.029149872,0
1995,15,30539873.5,491582.3984,7397.0802,4246.992798,27161827,0,196639152,21865038,51188.92969,57138988,793568.875,51188.92969,21916228,844757.75,0,8998676,0,0,0,0,0,0.038827305,0.017389193,25.49679936,721707.579,681150.1875,163129.5385,18.91402315,10.74717535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.61306318,57138988,0.011920935,0.012630738,0.382664075,0.077406666,0.027305137,0
